Part_Brand_id,Part Brand Name,Part_Brand_name_Tags,desc,Part_Brand_Type,Oem_id
394,kap,kap,-,2,1
395,karcher,karcher,-,2,1
396,kashiyama,kashiyama,-,2,1
397,kato,kato,-,2,1
398,kawasaki,kawasaki,-,2,1
399,kbc,kbc,-,2,1
400,kbx,kbx,-,2,1
401,keyster,keyster,-,2,1
402,kf,kf,-,2,1
403,kg,kg,-,2,1
404,kgk,kgk,-,2,1
405,kilen,kilen,-,2,1
406,klokkerholm,klokkerholm,-,2,1
407,km auto technik,km auto technik,-,2,1
408,knecht,knecht,-,2,1
409,knipex,knipex,-,2,1
410,knorr-bremse,knorr-bremse,-,2,1
411,koito,koito,-,2,1
412,kolbenschmidt,kolbenschmidt,-,2,1
413,kongsberg automotive,kongsberg automotive,-,2,1
414,koyo,koyo,-,2,1
415,kp,kp,-,2,1
416,kraft,kraft,-,2,1
417,ksm,ksm,-,2,1
418,ks tools,ks tools,-,2,1
419,ktm,ktm,-,2,1
420,kwp,kwp,-,2,1
421,kyosan,kyosan,-,2,1
422,land rover,land rover,-,2,1
423,lauber,lauber,-,2,1
424,lema,lema,-,2,1
425,lesjofors,lesjofors,-,2,1
426,linex,linex,-,2,1
427,liqui moly,liqui moly,-,2,1
428,loctite,loctite,-,2,1
429,lucas,lucas,-,2,1
430,lucid,lucid,-,2,1
431,lumax,lumax,-,2,1
432,m2,m2,-,2,1
433,magneti marelli,magneti marelli,-,2,1
434,mahindra,mahindra,-,2,1
435,malcorp,malcorp,-,2,1
436,man,man,-,2,1
437,mandira,mandira,-,2,1
438,mando,mando,-,2,1
439,mann-filter,mann-filter,-,2,1
440,mark exhaust system ltd,mark exhaust system ltd,-,2,1
441,maserati,maserati,-,2,1
442,master-sport,master-sport,-,2,1
443,matador,matador,-,2,1
444,matsuko,matsuko,-,2,1
445,maxpart,maxpart,-,2,1
446,maxxin,maxxin,-,2,1
447,mazda,mazda,-,2,1
448,mbs,mbs,-,2,1
449,meat & doria,meat & doria,-,2,1
450,mecafilter,mecafilter,-,2,1
451,mekra lang,mekra lang,-,2,1
452,mercedes-benz,mercedes-benz,-,2,1
453,miba,miba,-,2,1
454,michelin,michelin,-,2,1
455,micro,micro,-,2,1
456,milex,milex,-,2,1
457,mini,mini,-,2,1
